,date,country_code,project,article,qid,pageviews,total_pageviews,language
62,2024-07-26,GB,ja.wikipedia,積水ハウス地面師詐欺事件,Q109360179,105,943202,ja
63,2024-07-26,CO,es.wikipedia,Taylor_Swift,Q26876,157,938300,es
64,2024-07-26,LB,en.wikipedia,Modern_Olympics,Q5389,198,918927,en
65,2024-08-08,CH,it.wikipedia,Hunter_Woodhall,Q78816952,132,894364,it
66,2024-07-30,AU,en.wikipedia,Sydney_McLaughlin,Q24955939,100,887513,en
67,2024-07-31,UA,ru.wikipedia,Яндекс,Q5281,7822,875166,ru
68,2024-08-02,BE,nl.wikipedia,Céline_Dion,Q5105,141,859188,nl
69,2024-08-08,NZ,en.wikipedia,Sobhita_Dhulipala,Q16234497,785,859143,en
70,2024-07-30,GB,en.wikipedia,Leon_Marchand,Q63246909,6604,846698,en
71,2024-08-04,FI,en.wikipedia,Deadpool_(film),Q19347291,133,845061,en
72,2024-07-26,BR,en.wikipedia,2020_Summer_Olympics_medal_table,Q61440363,256,821948,en
73,2024-08-04,DE,en.wikipedia,Shyamala_Gopalan,Q60844968,378,819764,en
74,2024-08-03,IT,en.wikipedia,Longlegs,Q116470610,119,818389,en
75,2024-08-08,PL,pl.wikipedia,Stephen_Curry,Q352159,2335,816973,pl
76,2024-08-10,AR,es.wikipedia,Susan_Wojcicki,Q55183,582,813233,es
77,2024-08-08,CH,fr.wikipedia,Heptathlon,Q243264,1768,812815,fr
78,2024-07-26,MY,en.wikipedia,Deadpool,Q1631090,1417,811712,en
79,2024-07-26,MY,en.wikipedia,Raayan,Q121501146,7226,809528,en
80,2024-07-29,MY,en.wikipedia,XXXTentacion,Q28561969,299,793979,en
81,2024-08-08,CL,es.wikipedia,Florence_Griffith-Joyner,Q31082,128,793963,es
82,2024-08-08,FI,en.wikipedia,Neeraj_Chopra,Q24955843,1030,792419,en
83,2024-07-30,GR,en.wikipedia,2020_Olympic_Games,Q181278,341,780602,en
84,2024-08-06,PH,en.wikipedia,Joel_Embiid,Q15920046,199,775899,en
85,2024-07-26,AR,es.wikipedia,Inside_Out_2,Q113877606,411,771969,es
86,2024-07-29,RO,fr.wikipedia,Thomas_Jolly,Q3525264,203,763927,fr
87,2024-07-26,CA,en.wikipedia,Doug_Emhoff,Q65029113,6261,761037,en
88,2024-07-29,AT,en.wikipedia,Summer_McIntosh,Q107323240,96,760330,en
89,2024-08-08,ES,en.wikipedia,2026_Winter_Olympics,Q4630399,133,756619,en
90,2024-07-31,QA,en.wikipedia,Kalki_2898_AD,Q112430183,124,755746,en
91,2024-07-26,FR,fr.wikipedia,Emma_Corrin,Q63086179,1466,754684,fr
92,2024-07-26,MA,fr.wikipedia,Carl_Lewis,Q131237,259,748256,fr
93,2024-08-05,VE,en.wikipedia,Bangladesh,Q902,733,740562,en
94,2024-07-30,MY,en.wikipedia,100_m,Q164761,254,735853,en
95,2024-08-03,SG,en.wikipedia,Saint_Lucia,Q760,198,729506,en
96,2024-07-29,PL,en.wikipedia,Tommy_Robinson_(activist),Q2345201,193,729208,en
97,2024-07-29,SE,en.wikipedia,Adam_Peaty,Q17465546,207,725109,en
98,2024-08-11,FR,it.wikipedia,Sifan_Hassan,Q14855644,233,722875,it
99,2024-07-26,BE,en.wikipedia,Aya_Nakamura,Q37793136,532,722455,en
115,2024-07-26,PL,de.wikipedia,Olympia_2024,Q995653,140,677192,de
129,2024-07-28,US,fr.wikipedia,Jeux_olympiques_d'été_de_2024,Q995653,298,620830,fr
147,2024-07-26,IT,en.wikipedia,Usha_Chilukuri_Vance,,328,569944,en
148,2024-08-01,HR,hu.wikipedia,A_2024._évi_nyári_olimpiai_játékok_éremtáblázata,,161,569463,hu
156,2024-08-08,BE,en.wikipedia,Olympic_Games,Q5389,176,560990,en
157,2024-08-06,SG,zh.wikipedia,林郁婷,Q16905504,236,559394,zh
170,2024-08-03,ES,ru.wikipedia,Летние_Олимпийские_игры_2024,Q995653,91,537501,ru
186,2024-08-03,IE,en.wikipedia,2024_England_riots,,188,495044,en
189,2024-08-07,FR,en.wikipedia,2024_Southport_stabbing,,737,490908,en
194,2024-08-01,GT,es.wikipedia,Juegos_Olímpicos,Q5389,555,486865,es
236,2024-08-10,BA,en.wikipedia,Steph_curry,Q352159,582,433236,en
238,2024-07-30,PL,pl.wikipedia,Belal_Muhammad,,152,430492,pl
249,2024-08-11,IT,zh.wikipedia,2024年夏季奥林匹克运动会,Q995653,102,420923,zh
256,2024-07-30,ML,fr.wiktionary,XXX,,193,409791,fr
268,2024-08-08,KR,en.wikipedia,Yusuf_Dikeç,Q8061940,102,397699,en
275,2024-07-26,CA,ja.wikipedia,セリーヌ・ディオン,Q5105,97,394011,ja
339,2024-08-07,AT,ru.wikipedia,Бои_в_Курской_области_(2024),,95,340763,ru
347,2024-08-06,US,ja.wikipedia,地面師たち,,212,335611,ja
352,2024-08-04,LB,en.wikipedia,Djokovic,Q5812,251,332360,en
356,2024-07-28,CH,it.wikipedia,Giochi_della_XXXIII_Olimpiade,Q995653,192,329494,it
375,2024-08-04,DE,pl.wikipedia,Novak_Đoković,Q5812,505,315682,pl
379,2024-07-27,IT,fr.wikipedia,Jeux_olympiques,Q5389,100,313161,fr
396,2024-07-30,PL,en.wikipedia,Nicolas_Maduro,Q58132,563,304929,en
425,2024-08-03,KZ,ru.wikipedia,Дэдпул_и_Росомаха,Q102180106,1455,292651,ru
428,2024-08-01,AR,es.wikipedia,Juegos_Olímpicos_de_París_2024,Q995653,4294,290547,es
435,2024-08-03,US,en.wikipedia,Big_Brother_26_(American_season),,9942,287800,en
439,2024-08-01,JP,ja.wikipedia,岡慎之助,,91478,286397,ja
463,2024-08-10,US,ru.wikipedia,"Хелиф,_Иман",,495,274167,ru
472,2024-07-30,VE,es.wikipedia,Juegos_Olímpicos_de_2024,Q995653,577,270865,es
483,2024-08-03,CH,en.wikipedia,Assassination_of_Ismail_Haniyeh,,96,267676,en
488,2024-08-03,PL,pl.wikipedia,Pan_Zhanle,,93,265767,pl
518,2024-07-26,IE,en.wikipedia,2024_shooting_at_a_Donald_Trump_rally,,104,254824,en
522,2024-07-31,FR,en.wikipedia,Hawk_Tuah_Girl,,119,252410,en
545,2024-08-04,FR,ja.wikipedia,テディ・リネール,Q353514,201,247090,ja
570,2024-08-01,MY,en.wikipedia,Batman:_Caped_Crusader,,230,239957,en
594,2024-07-26,BR,pt.wikipedia,Jogos_Olímpicos_de_Verão_de_2024,Q995653,17779,234056,pt
598,2024-07-30,DE,pl.wikipedia,Letnie_Igrzyska_Olimpijskie_2024,Q995653,164,233453,pl
637,2024-08-11,CH,it.wikipedia,Giochi_olimpici,Q5389,207,222490,it
655,2024-07-26,IN,en.wiktionary,xxx,,5900,217138,en
670,2024-07-28,IL,en.wikipedia,Deaths_in_2024,Q123489953,222,213452,en
684,2024-07-30,GB,en.wikipedia,Killing_of_Sonya_Massey,,914,210524,en
695,2024-08-04,AT,de.wikipedia,Olympische_Spiele,Q5389,711,209201,de
738,2024-07-30,PL,pl.wikipedia,Sunisa_Lee,Q59484397,188,199594,pl
753,2024-08-06,BD,en.wikipedia,2024_Bangladesh_quota_reform_movement,,3606,197663,en
756,2024-08-01,BE,fr.wikipedia,Décompte_des_médailles_olympiques_par_nation,Q208519,357,197301,fr
776,2024-07-31,JP,ja.wikipedia,レディー・ガガ,Q19848,2550,192866,ja
792,2024-08-10,RS,en.wikipedia,2024_São_Paulo_passenger_plane_crash,,292,190182,en
835,2024-08-03,IT,es.wikipedia,Santa_Lucía,Q760,111,183914,es
842,2024-08-08,CL,en.wikipedia,2024_Kursk_Oblast_raid,,98,182458,en
864,2024-08-07,US,en.wikipedia,Kauli_Vaast,,1505,180361,en
873,2024-07-30,AT,de.wikipedia,Steven_van_de_Velde,Q13427452,594,179593,de
880,2024-08-07,FR,fr.wikipedia,Jeux_olympiques_d'été_de_2020,Q181278,4264,178922,fr
902,2024-08-01,CA,en.wikipedia,Thomas_Matthew_Crooks,,532,175461,en
906,2024-08-04,IT,de.wikipedia,Ewiger_Medaillenspiegel_der_Olympischen_Spiele,Q208519,157,175164,de
