date,country_code,project,article,qid,pageviews,total_pageviews,language,language_full
2024-08-21,IL,en.wikipedia,WhatsApp,Q1049511,110,952493,en,English
2024-08-18,JP,pt.wikipedia,Renata_Abravanel,Q1395208,588,947783,pt,Portuguese
2024-09-08,IL,en.wikipedia,Jeffrey_Jones,Q377662,112,939092,en,English
2024-09-07,BR,en.wikipedia,Taylor_Fritz,Q17660516,575,929513,en,English
2024-08-13,TW,zh.wikipedia,Wikipedia,Q52,670,926902,zh,Chinese
2024-09-04,IT,it.wikipedia,Barack_Obama,Q76,341,922474,it,Italian
2024-08-31,KE,en.wikipedia,Sven-Göran_Eriksson,Q218369,157,921479,en,English
2024-08-26,PH,en.wikipedia,Pavel_Durov,Q149067,1469,917335,en,English
2024-09-07,AU,en.wikipedia,Shyamala_Gopalan,Q60844968,141,908836,en,English
2024-09-07,GB,en.wikipedia,Michel_Barnier,Q438465,2569,907871,en,English
2024-08-21,GB,en.wikipedia,Justin_Baldoni,Q1303706,3164,906361,en,English
2024-08-12,LV,en.wikipedia,Rachael_Gunn,Q127206534,126,894403,en,English
2024-08-26,US,en.wikipedia,9/11,Q10806,7566,891139,en,English
2024-08-22,IN,en.wikipedia,List_of_highest-grossing_Indian_films,Q6622409,28477,881775,en,English
2024-08-29,ES,en.wikipedia,Alien:_Covenant,Q20430699,97,881592,en,English
2024-08-20,SG,en.wikipedia,Ketamine,Q243547,106,875171,en,English
2024-08-15,ES,it.wikipedia,Gena_Rowlands,Q229258,102,873101,it,Italian
2024-09-07,JP,en.wikipedia,Winona_Ryder,Q101797,99,871090,en,English
